"eventName","eventDescription","eventConstant","owner","feature","tags","groupDescription","propertyName","propertyDescription","propertyType","propertyPossibleValues","propertyIsNullable"
"DATASCIENCE.NOTEBOOK_RESTART","Telemetry sent when user Restarts the Kernel.
Check the `resourceType` to determine whether its a Jupyter Notebook or IW.","Telemetry.NotebookRestart","donjayamanne","Notebook, InteractiveWindow","","If there are unhandled exceptions. ","resourceType","Used to determine whether this event is related to a Notebooks or Interactive window.
Common to most of the events.","","'notebook' 
'interactive' ",true
"DATASCIENCE.NOTEBOOK_RESTART","Telemetry sent when user Restarts the Kernel.
Check the `resourceType` to determine whether its a Jupyter Notebook or IW.","Telemetry.NotebookRestart","donjayamanne","Notebook, InteractiveWindow","","If there are unhandled exceptions. ","stackTrace","Node stacktrace without PII.
Common to most of the events.","string","",true
"DATASCIENCE.NOTEBOOK_START","Send when a kernel starts.","Telemetry.NotebookStart","donjayamanne","Notebook, InteractiveWindow","KernelStartup","","actionSource","Whether this was started by Jupyter extension or a 3rd party.
Common to most of the events.","","jupyterExtension ()
3rdPartyExtension ()",false
"DATASCIENCE.NOTEBOOK_START","Send when a kernel starts.","Telemetry.NotebookStart","donjayamanne","Notebook, InteractiveWindow","KernelStartup","","capturedEnvVars","Whether we managed to capture the environment variables or not.
In the case of conda environments, `false` would be an error condition, as we must have env variables for conda to work.
Common to most of the events.","boolean","",true
"DATASCIENCE.NOTEBOOK_START","Send when a kernel starts.","Telemetry.NotebookStart","donjayamanne","Notebook, InteractiveWindow","KernelStartup","","disableUI","Whether the notebook startup UI (progress indicator & the like) was displayed to the user or not.
If its not displayed, then its considered an auto start (start in the background, like pre-warming kernel)
Common to most of the events.","boolean","",true
"DATASCIENCE.NOTEBOOK_START","Send when a kernel starts.","Telemetry.NotebookStart","donjayamanne","Notebook, InteractiveWindow","KernelStartup","","failed","Whether there was a failure.
Common to most of the events.","true","",false
"DATASCIENCE.NOTEBOOK_START","Send when a kernel starts.","Telemetry.NotebookStart","donjayamanne","Notebook, InteractiveWindow","KernelStartup","","failureCategory","A reason that we generate (e.g. kerneldied, noipykernel, etc), more like a category of the error.
Common to most of the events.","string","",true
"DATASCIENCE.NOTEBOOK_START","Send when a kernel starts.","Telemetry.NotebookStart","donjayamanne","Notebook, InteractiveWindow","KernelStartup","","failureSubCategory","Further sub classification of the error. E.g. kernel died due to the fact that zmq is not installed properly.
Common to most of the events.","string","",true
"DATASCIENCE.NOTEBOOK_START","Send when a kernel starts.","Telemetry.NotebookStart","donjayamanne","Notebook, InteractiveWindow","KernelStartup","","isUsingActiveInterpreter","Whether this resource is using the active Python interpreter or not.
Common to most of the events.","boolean","",true
"DATASCIENCE.NOTEBOOK_START","Send when a kernel starts.","Telemetry.NotebookStart","donjayamanne","Notebook, InteractiveWindow","KernelStartup","","kernelConnectionType","Whether kernel was started using kernel spec, interpreter, etc.
Common to most of the events.","KernelConnectionMetadata['kind']","",true
"DATASCIENCE.NOTEBOOK_START","Send when a kernel starts.","Telemetry.NotebookStart","donjayamanne","Notebook, InteractiveWindow","KernelStartup","","kernelId","Hash of the Kernel Connection id.
Common to most of the events.","string","",false
"DATASCIENCE.NOTEBOOK_START","Send when a kernel starts.","Telemetry.NotebookStart","donjayamanne","Notebook, InteractiveWindow","KernelStartup","","kernelLanguage","Language of the kernel connection.
Common to most of the events.","string","",false
"DATASCIENCE.NOTEBOOK_START","Send when a kernel starts.","Telemetry.NotebookStart","donjayamanne","Notebook, InteractiveWindow","KernelStartup","","kernelSessionId","Unique identifier for an instance of a notebook session.
If we restart or run this notebook tomorrow, this id will be different.
Id could be something as simple as a hash of the current Epoch time.
Common to most of the events.","string","",false
"DATASCIENCE.NOTEBOOK_START","Send when a kernel starts.","Telemetry.NotebookStart","donjayamanne","Notebook, InteractiveWindow","KernelStartup","","pythonEnvironmentPackages","Comma delimited list of hashed packages & their versions.
Common to most of the events.","string","",true
"DATASCIENCE.NOTEBOOK_START","Send when a kernel starts.","Telemetry.NotebookStart","donjayamanne","Notebook, InteractiveWindow","KernelStartup","","pythonEnvironmentPath","A key, so that rest of the information is tied to this. (hash)
Common to most of the events.","string","",true
"DATASCIENCE.NOTEBOOK_START","Send when a kernel starts.","Telemetry.NotebookStart","donjayamanne","Notebook, InteractiveWindow","KernelStartup","","pythonEnvironmentType","Found plenty of issues when starting kernels with conda, hence useful to capture this info.
Common to most of the events.","","Unknown ()
Conda ()
VirtualEnv ()
PipEnv ()
Pyenv ()
Venv ()
Poetry ()
VirtualEnvWrapper ()",true
"DATASCIENCE.NOTEBOOK_START","Send when a kernel starts.","Telemetry.NotebookStart","donjayamanne","Notebook, InteractiveWindow","KernelStartup","","pythonEnvironmentVersion","Found plenty of issues when starting Conda Python 3.7, Python 3.7 Python 3.9 (in early days when ipykernel was not up to date)
Common to most of the events.","string","",true
"DATASCIENCE.NOTEBOOK_START","Send when a kernel starts.","Telemetry.NotebookStart","donjayamanne","Notebook, InteractiveWindow","KernelStartup","","pythonErrorFile","Hash of the file name that contains the file in the last frame (from Python stack trace).
Common to most of the events.","string","",true
"DATASCIENCE.NOTEBOOK_START","Send when a kernel starts.","Telemetry.NotebookStart","donjayamanne","Notebook, InteractiveWindow","KernelStartup","","pythonErrorFolder","Hash of the folder that contains the file in the last frame (from Python stack trace).
Common to most of the events.","string","",true
"DATASCIENCE.NOTEBOOK_START","Send when a kernel starts.","Telemetry.NotebookStart","donjayamanne","Notebook, InteractiveWindow","KernelStartup","","pythonErrorPackage","Hash of the module that contains the file in the last frame (from Python stack trace).
Common to most of the events.","string","",true
"DATASCIENCE.NOTEBOOK_START","Send when a kernel starts.","Telemetry.NotebookStart","donjayamanne","Notebook, InteractiveWindow","KernelStartup","","resourceHash","Hash of the resource (notebook.uri or pythonfile.uri associated with this).
If we run the same notebook tomorrow, the hash will be the same.
Used to check whether a particular notebook fails across time or not.
This is also used to map different telemetry events related to this same resource. E.g. we could have an event sent for starting a notebook with this hash,
and then later we get yet another event indicating starting a notebook failed. And another event indicating the Python environment used for this notebook is a conda environment or
we have some other event indicating some other piece of data for this resource. With the information across multiple resources we can now join the different data points
and have a better understanding of what is going on, e.g. why something failed.
Common to most of the events.","string","",true
"DATASCIENCE.NOTEBOOK_START","Send when a kernel starts.","Telemetry.NotebookStart","donjayamanne","Notebook, InteractiveWindow","KernelStartup","","resourceType","Used to determine whether this event is related to a Notebooks or Interactive window.
Common to most of the events.","","'notebook' 
'interactive' ",true
"DATASCIENCE.NOTEBOOK_START","Send when a kernel starts.","Telemetry.NotebookStart","donjayamanne","Notebook, InteractiveWindow","KernelStartup","","stackTrace","Node stacktrace without PII.
Common to most of the events.","string","",true
"DATASCIENCE.NOTEBOOK_START","Send when a kernel starts.","Telemetry.NotebookStart","donjayamanne","Notebook, InteractiveWindow","KernelStartup","","userExecutedCell","Whether the user executed a cell.
Common to most of the events.","boolean","",true
"DATASCIENCE.OPEN_PLOT_VIEWER","A new instance of the plot viewer was opened.","Telemetry.OpenPlotViewer","IanMatthewHuff","PlotViewer","","","","","","",""
"DATASCIENCE.PYTHON_VARIABLE_FETCHING_CODE_FAILURE","The Python code that we ran to fetch variables had a failure.","Telemetry.PythonVariableFetchingCodeFailure","IanMatthewHuff","VariableViewer","","","","","","",""
"DATASCIENCE.RECOMMENT_EXTENSION","Telemetry sent when we recommend installing an extension.","Telemetry.RecommendExtension","IanMatthewHuff","N/A","","","action","`displayed` - If prompt was displayed
`dismissed` - If prompt was displayed & dismissed by the user
`ok` - If prompt was displayed & ok clicked by the user
`cancel` - If prompt was displayed & cancel clicked by the user
`doNotShowAgain` - If prompt was displayed & doNotShowAgain clicked by the user","","'displayed' 
'dismissed' 
'ok' 
'cancel' 
'doNotShowAgain' ",false
"DATASCIENCE.RECOMMENT_EXTENSION","Telemetry sent when we recommend installing an extension.","Telemetry.RecommendExtension","IanMatthewHuff","N/A","","","extensionId","Extension we recommended the user to install.","string","",false
"DATASCIENCE.REFRESH_DATA_VIEWER","Sent when the jupyter.refreshDataViewer command is invoked","Telemetry.RefreshDataViewer","IanMatthewHuff","DataFrameViewer","","","","","","",""
"DATASCIENCE.RUN_ALL_CELLS","Command to Run all cells from the active python file in the Interactive Window","Telemetry.RunAllCells","amunger","InteractiveWindow","","","","","","",""
"DATASCIENCE.RUN_ALL_CELLS_ABOVE","Command to Run all the above cells in the Interactive Window","Telemetry.RunAllCellsAbove","amunger","InteractiveWindow","","","","","","",""
"DATASCIENCE.RUN_BY_LINE_VARIABLE_HOVER","Fired when a user hovers a variable while debugging the IW.","Telemetry.RunByLineVariableHover","roblourens","Debugger","","","","","","",""
"DATASCIENCE.RUN_CELL_AND_ALL_BELOW","Command to Run current cell and all below in the Interactive Window","Telemetry.RunCellAndAllBelow","amunger","InteractiveWindow","","","","","","",""
"DATASCIENCE.RUN_CHANGE_CELL_TO_CODE","Cell Edit Command in Interactive Window","Telemetry.ChangeCellToCode","amunger","InteractiveWindow","","","duration","Duration of a measure in milliseconds.
Common measurement used across a number of events.","number","",false
"DATASCIENCE.RUN_CHANGE_CELL_TO_MARKDOWN","Cell Edit Command in Interactive Window","Telemetry.ChangeCellToMarkdown","amunger","InteractiveWindow","","","duration","Duration of a measure in milliseconds.
Common measurement used across a number of events.","number","",false
"DATASCIENCE.RUN_CURRENT_CELL","Command to Run the current Cell in the Interactive Window","Telemetry.RunCurrentCell","amunger","InteractiveWindow","","","","","","",""
"DATASCIENCE.RUN_CURRENT_CELL_AND_ADD_BELOW","Run the cell and everything below it in the Interactive Window.","Telemetry.RunCurrentCellAndAddBelow","amunger","InteractiveWindow","","","duration","Duration of a measure in milliseconds.
Common measurement used across a number of events.","number","",false
"DATASCIENCE.RUN_CURRENT_CELL_AND_ADVANCE","Command to Run current cell in the Interactive Window and advance cursor to the next cell","Telemetry.RunCurrentCellAndAdvance","amunger","InteractiveWindow","","","","","","",""
"DATASCIENCE.RUN_DELETE_CELLS","Cell Edit Command in Interactive Window","Telemetry.DeleteCells","amunger","InteractiveWindow","","","duration","Duration of a measure in milliseconds.
Common measurement used across a number of events.","number","",false
"DATASCIENCE.RUN_EXTEND_SELECTION_BY_CELL_ABOVE","Cell Selection Command in Interactive Window","Telemetry.ExtendSelectionByCellAbove","amunger","InteractiveWindow","","","duration","Duration of a measure in milliseconds.
Common measurement used across a number of events.","number","",false
"DATASCIENCE.RUN_EXTEND_SELECTION_BY_CELL_BELOW","Cell Selection Command in Interactive Window","Telemetry.ExtendSelectionByCellBelow","amunger","InteractiveWindow","","","duration","Duration of a measure in milliseconds.
Common measurement used across a number of events.","number","",false
"DATASCIENCE.RUN_FILE_INTERACTIVE","Command to Run the active file in the Interactive Window","Telemetry.RunFileInteractive","amunger","InteractiveWindow","","","","","","",""
"DATASCIENCE.RUN_FROM_LINE","Command to Run the active file contents from the cursor location in the Interactive Window","Telemetry.RunFromLine","amunger","InteractiveWindow","","","","","","",""
"DATASCIENCE.RUN_INSERT_CELL_ABOVE","Cell Edit Command in Interactive Window","Telemetry.InsertCellAbove","amunger","InteractiveWindow","","","duration","Duration of a measure in milliseconds.
Common measurement used across a number of events.","number","",false
"DATASCIENCE.RUN_INSERT_CELL_BELOW","Cell Edit Command in Interactive Window","Telemetry.InsertCellBelow","amunger","InteractiveWindow","","","duration","Duration of a measure in milliseconds.
Common measurement used across a number of events.","number","",false
"DATASCIENCE.RUN_INSERT_CELL_BELOW_POSITION","Cell Edit Command in Interactive Window","Telemetry.InsertCellBelowPosition","amunger","InteractiveWindow","","","duration","Duration of a measure in milliseconds.
Common measurement used across a number of events.","number","",false
"DATASCIENCE.RUN_MOVE_CELLS_DOWN","Cell Edit Command in Interactive Window","Telemetry.MoveCellsDown","amunger","InteractiveWindow","","","duration","Duration of a measure in milliseconds.
Common measurement used across a number of events.","number","",false
"DATASCIENCE.RUN_MOVE_CELLS_UP","Cell Edit Command in Interactive Window","Telemetry.MoveCellsUp","amunger","InteractiveWindow","","","duration","Duration of a measure in milliseconds.
Common measurement used across a number of events.","number","",false
"DATASCIENCE.RUN_SELECT_CELL","Cell Selection Command in Interactive Window","Telemetry.SelectCell","amunger","InteractiveWindow","","","duration","Duration of a measure in milliseconds.
Common measurement used across a number of events.","number","",false
"DATASCIENCE.RUN_SELECT_CELL_CONTENTS","Cell Selection Command in Interactive Window","Telemetry.SelectCellContents","amunger","InteractiveWindow","","","duration","Duration of a measure in milliseconds.
Common measurement used across a number of events.","number","",false
"DATASCIENCE.RUN_SELECTION_OR_LINE","Command to Run a Selection or Line in the Interactive Window","Telemetry.RunSelectionOrLine","amunger","InteractiveWindow","","","","","","",""
"DATASCIENCE.RUN_TO_LINE","Command to Run the active file contents up to the cursor location in the Interactive Window","Telemetry.RunToLine","amunger","InteractiveWindow","","","","","","",""
"DATASCIENCE.SELECT_JUPYTER_INTERPRETER_Command","Telemetry sent when user selects an interpreter to start jupyter server.","Telemetry.SelectJupyterInterpreterCommand","donjayamanne","N/A","KernelStartup","","","","","",""
"DATASCIENCE.SELECT_JUPYTER_URI","User has triggered selection of a Jupyter URI for a remote connection.
Note: Might not come from a direct user action.","Telemetry.SelectJupyterURI","IanMatthewHuff","KernelPicker","","","duration","Duration of a measure in milliseconds.
Common measurement used across a number of events.","number","",false
"DATASCIENCE.SELECT_LOCAL_JUPYTER_KERNEL","Kernel was switched to a local kernel connection.","Telemetry.SelectLocalJupyterKernel","IanMatthewHuff","KernelPicker","","","actionSource","Whether this was started by Jupyter extension or a 3rd party.
Common to most of the events.","","jupyterExtension ()
3rdPartyExtension ()",false
"DATASCIENCE.SELECT_LOCAL_JUPYTER_KERNEL","Kernel was switched to a local kernel connection.","Telemetry.SelectLocalJupyterKernel","IanMatthewHuff","KernelPicker","","","capturedEnvVars","Whether we managed to capture the environment variables or not.
In the case of conda environments, `false` would be an error condition, as we must have env variables for conda to work.
Common to most of the events.","boolean","",true
"DATASCIENCE.SELECT_LOCAL_JUPYTER_KERNEL","Kernel was switched to a local kernel connection.","Telemetry.SelectLocalJupyterKernel","IanMatthewHuff","KernelPicker","","","disableUI","Whether the notebook startup UI (progress indicator & the like) was displayed to the user or not.
If its not displayed, then its considered an auto start (start in the background, like pre-warming kernel)
Common to most of the events.","boolean","",true
"DATASCIENCE.SELECT_LOCAL_JUPYTER_KERNEL","Kernel was switched to a local kernel connection.","Telemetry.SelectLocalJupyterKernel","IanMatthewHuff","KernelPicker","","","isUsingActiveInterpreter","Whether this resource is using the active Python interpreter or not.
Common to most of the events.","boolean","",true
"DATASCIENCE.SELECT_LOCAL_JUPYTER_KERNEL","Kernel was switched to a local kernel connection.","Telemetry.SelectLocalJupyterKernel","IanMatthewHuff","KernelPicker","","","kernelConnectionType","Whether kernel was started using kernel spec, interpreter, etc.
Common to most of the events.","KernelConnectionMetadata['kind']","",true
"DATASCIENCE.SELECT_LOCAL_JUPYTER_KERNEL","Kernel was switched to a local kernel connection.","Telemetry.SelectLocalJupyterKernel","IanMatthewHuff","KernelPicker","","","kernelId","Hash of the Kernel Connection id.
Common to most of the events.","string","",false
"DATASCIENCE.SELECT_LOCAL_JUPYTER_KERNEL","Kernel was switched to a local kernel connection.","Telemetry.SelectLocalJupyterKernel","IanMatthewHuff","KernelPicker","","","kernelLanguage","Language of the kernel connection.
Common to most of the events.","string","",false
"DATASCIENCE.SELECT_LOCAL_JUPYTER_KERNEL","Kernel was switched to a local kernel connection.","Telemetry.SelectLocalJupyterKernel","IanMatthewHuff","KernelPicker","","","kernelSessionId","Unique identifier for an instance of a notebook session.
If we restart or run this notebook tomorrow, this id will be different.
Id could be something as simple as a hash of the current Epoch time.
Common to most of the events.","string","",false
"DATASCIENCE.SELECT_LOCAL_JUPYTER_KERNEL","Kernel was switched to a local kernel connection.","Telemetry.SelectLocalJupyterKernel","IanMatthewHuff","KernelPicker","","","pythonEnvironmentPackages","Comma delimited list of hashed packages & their versions.
Common to most of the events.","string","",true
"DATASCIENCE.SELECT_LOCAL_JUPYTER_KERNEL","Kernel was switched to a local kernel connection.","Telemetry.SelectLocalJupyterKernel","IanMatthewHuff","KernelPicker","","","pythonEnvironmentPath","A key, so that rest of the information is tied to this. (hash)
Common to most of the events.","string","",true
"DATASCIENCE.SELECT_LOCAL_JUPYTER_KERNEL","Kernel was switched to a local kernel connection.","Telemetry.SelectLocalJupyterKernel","IanMatthewHuff","KernelPicker","","","pythonEnvironmentType","Found plenty of issues when starting kernels with conda, hence useful to capture this info.
Common to most of the events.","","Unknown ()
Conda ()
VirtualEnv ()
PipEnv ()
Pyenv ()
Venv ()
Poetry ()
VirtualEnvWrapper ()",true
"DATASCIENCE.SELECT_LOCAL_JUPYTER_KERNEL","Kernel was switched to a local kernel connection.","Telemetry.SelectLocalJupyterKernel","IanMatthewHuff","KernelPicker","","","pythonEnvironmentVersion","Found plenty of issues when starting Conda Python 3.7, Python 3.7 Python 3.9 (in early days when ipykernel was not up to date)
Common to most of the events.","string","",true
"DATASCIENCE.SELECT_LOCAL_JUPYTER_KERNEL","Kernel was switched to a local kernel connection.","Telemetry.SelectLocalJupyterKernel","IanMatthewHuff","KernelPicker","","","resourceHash","Hash of the resource (notebook.uri or pythonfile.uri associated with this).
If we run the same notebook tomorrow, the hash will be the same.
Used to check whether a particular notebook fails across time or not.
This is also used to map different telemetry events related to this same resource. E.g. we could have an event sent for starting a notebook with this hash,
and then later we get yet another event indicating starting a notebook failed. And another event indicating the Python environment used for this notebook is a conda environment or
we have some other event indicating some other piece of data for this resource. With the information across multiple resources we can now join the different data points
and have a better understanding of what is going on, e.g. why something failed.
Common to most of the events.","string","",true
"DATASCIENCE.SELECT_LOCAL_JUPYTER_KERNEL","Kernel was switched to a local kernel connection.","Telemetry.SelectLocalJupyterKernel","IanMatthewHuff","KernelPicker","","","resourceType","Used to determine whether this event is related to a Notebooks or Interactive window.
Common to most of the events.","","'notebook' 
'interactive' ",true
"DATASCIENCE.SELECT_LOCAL_JUPYTER_KERNEL","Kernel was switched to a local kernel connection.","Telemetry.SelectLocalJupyterKernel","IanMatthewHuff","KernelPicker","","","userExecutedCell","Whether the user executed a cell.
Common to most of the events.","boolean","",true
"DATASCIENCE.SELECT_REMOTE_JUPYTER_KERNEL","Kernel was switched to a remote kernel connection.","Telemetry.SelectRemoteJupyterKernel","IanMatthewHuff","KernelPicker","","","actionSource","Whether this was started by Jupyter extension or a 3rd party.
Common to most of the events.","","jupyterExtension ()
3rdPartyExtension ()",false
"DATASCIENCE.SELECT_REMOTE_JUPYTER_KERNEL","Kernel was switched to a remote kernel connection.","Telemetry.SelectRemoteJupyterKernel","IanMatthewHuff","KernelPicker","","","capturedEnvVars","Whether we managed to capture the environment variables or not.
In the case of conda environments, `false` would be an error condition, as we must have env variables for conda to work.
Common to most of the events.","boolean","",true
"DATASCIENCE.SELECT_REMOTE_JUPYTER_KERNEL","Kernel was switched to a remote kernel connection.","Telemetry.SelectRemoteJupyterKernel","IanMatthewHuff","KernelPicker","","","disableUI","Whether the notebook startup UI (progress indicator & the like) was displayed to the user or not.
If its not displayed, then its considered an auto start (start in the background, like pre-warming kernel)
Common to most of the events.","boolean","",true
"DATASCIENCE.SELECT_REMOTE_JUPYTER_KERNEL","Kernel was switched to a remote kernel connection.","Telemetry.SelectRemoteJupyterKernel","IanMatthewHuff","KernelPicker","","","isUsingActiveInterpreter","Whether this resource is using the active Python interpreter or not.
Common to most of the events.","boolean","",true
"DATASCIENCE.SELECT_REMOTE_JUPYTER_KERNEL","Kernel was switched to a remote kernel connection.","Telemetry.SelectRemoteJupyterKernel","IanMatthewHuff","KernelPicker","","","kernelConnectionType","Whether kernel was started using kernel spec, interpreter, etc.
Common to most of the events.","KernelConnectionMetadata['kind']","",true
"DATASCIENCE.SELECT_REMOTE_JUPYTER_KERNEL","Kernel was switched to a remote kernel connection.","Telemetry.SelectRemoteJupyterKernel","IanMatthewHuff","KernelPicker","","","kernelId","Hash of the Kernel Connection id.
Common to most of the events.","string","",false
"DATASCIENCE.SELECT_REMOTE_JUPYTER_KERNEL","Kernel was switched to a remote kernel connection.","Telemetry.SelectRemoteJupyterKernel","IanMatthewHuff","KernelPicker","","","kernelLanguage","Language of the kernel connection.
Common to most of the events.","string","",false
"DATASCIENCE.SELECT_REMOTE_JUPYTER_KERNEL","Kernel was switched to a remote kernel connection.","Telemetry.SelectRemoteJupyterKernel","IanMatthewHuff","KernelPicker","","","kernelSessionId","Unique identifier for an instance of a notebook session.
If we restart or run this notebook tomorrow, this id will be different.
Id could be something as simple as a hash of the current Epoch time.
Common to most of the events.","string","",false
"DATASCIENCE.SELECT_REMOTE_JUPYTER_KERNEL","Kernel was switched to a remote kernel connection.","Telemetry.SelectRemoteJupyterKernel","IanMatthewHuff","KernelPicker","","","pythonEnvironmentPackages","Comma delimited list of hashed packages & their versions.
Common to most of the events.","string","",true
"DATASCIENCE.SELECT_REMOTE_JUPYTER_KERNEL","Kernel was switched to a remote kernel connection.","Telemetry.SelectRemoteJupyterKernel","IanMatthewHuff","KernelPicker","","","pythonEnvironmentPath","A key, so that rest of the information is tied to this. (hash)
Common to most of the events.","string","",true
"DATASCIENCE.SELECT_REMOTE_JUPYTER_KERNEL","Kernel was switched to a remote kernel connection.","Telemetry.SelectRemoteJupyterKernel","IanMatthewHuff","KernelPicker","","","pythonEnvironmentType","Found plenty of issues when starting kernels with conda, hence useful to capture this info.
Common to most of the events.","","Unknown ()
Conda ()
VirtualEnv ()
PipEnv ()
Pyenv ()
Venv ()
Poetry ()
VirtualEnvWrapper ()",true
"DATASCIENCE.SELECT_REMOTE_JUPYTER_KERNEL","Kernel was switched to a remote kernel connection.","Telemetry.SelectRemoteJupyterKernel","IanMatthewHuff","KernelPicker","","","pythonEnvironmentVersion","Found plenty of issues when starting Conda Python 3.7, Python 3.7 Python 3.9 (in early days when ipykernel was not up to date)
Common to most of the events.","string","",true
"DATASCIENCE.SELECT_REMOTE_JUPYTER_KERNEL","Kernel was switched to a remote kernel connection.","Telemetry.SelectRemoteJupyterKernel","IanMatthewHuff","KernelPicker","","","resourceHash","Hash of the resource (notebook.uri or pythonfile.uri associated with this).
If we run the same notebook tomorrow, the hash will be the same.
Used to check whether a particular notebook fails across time or not.
This is also used to map different telemetry events related to this same resource. E.g. we could have an event sent for starting a notebook with this hash,
and then later we get yet another event indicating starting a notebook failed. And another event indicating the Python environment used for this notebook is a conda environment or
we have some other event indicating some other piece of data for this resource. With the information across multiple resources we can now join the different data points
and have a better understanding of what is going on, e.g. why something failed.
Common to most of the events.","string","",true
"DATASCIENCE.SELECT_REMOTE_JUPYTER_KERNEL","Kernel was switched to a remote kernel connection.","Telemetry.SelectRemoteJupyterKernel","IanMatthewHuff","KernelPicker","","","resourceType","Used to determine whether this event is related to a Notebooks or Interactive window.
Common to most of the events.","","'notebook' 
'interactive' ",true
"DATASCIENCE.SELECT_REMOTE_JUPYTER_KERNEL","Kernel was switched to a remote kernel connection.","Telemetry.SelectRemoteJupyterKernel","IanMatthewHuff","KernelPicker","","","userExecutedCell","Whether the user executed a cell.
Common to most of the events.","boolean","",true
"DATASCIENCE.SELFCERTSMESSAGECLOSE","Sent when users chose not to allow connecting to Jupyter over HTTPS when certificate isn't trusted by a trusted CA.","Telemetry.SelfCertsMessageClose","donjayamanne","N/A","","","","","","",""
"DATASCIENCE.SELFCERTSMESSAGEENABLED","Sent when users chose to use self-signed certificates when connecting to Jupyter over https.
Basically this means users has chosen to connect to Jupyter over HTTPS when certificate isn't trusted by a trusted CA.","Telemetry.SelfCertsMessageEnabled","donjayamanne","N/A","","","","","","",""
"DATASCIENCE.SET_JUPYTER_URI_LOCAL","Jupyter URI was set to local.","Telemetry.SetJupyterURIToLocal","IanMatthewHuff","KernelPicker","","","duration","Duration of a measure in milliseconds.
Common measurement used across a number of events.","number","",false
"DATASCIENCE.SET_JUPYTER_URI_UI_DISPLAYED","This telemetry tracks the display of the Picker for Jupyter Remote servers.","Telemetry.SetJupyterURIUIDisplayed","IanMatthewHuff","KernelPicker","","","commandSource","This telemetry tracks the source of this UI.
nonUser - Invoked internally by our code.
toolbar - Invoked by user from Native or Interactive window toolbar.
commandPalette - Invoked from command palette by the user.
nativeNotebookStatusBar - Invoked from Native notebook statusbar.
nativeNotebookToolbar - Invoked from Native notebook toolbar.","","nonUser ()
toolbar ()
commandPalette ()
nativeNotebookStatusBar ()
nativeNotebookToolbar ()
errorHandler ()
prompt ()",false
"DATASCIENCE.SET_JUPYTER_URI_USER_SPECIFIED","Jupyter URI was valid and set to a remote setting.","Telemetry.SetJupyterURIToUserSpecified","IanMatthewHuff","KernelPicker","","","azure","Was the URI set to an Azure uri.","boolean","",false
"DATASCIENCE.SHOW_DATA_EXPLORER","Request was made to show the data viewer with specific data frame info.","Telemetry.ShowDataViewer","IanMatthewHuff","DataFrameViewer","","","columns","Count of columns in the target data frame.","","null or <empty> ",false
"DATASCIENCE.SHOW_DATA_EXPLORER","Request was made to show the data viewer with specific data frame info.","Telemetry.ShowDataViewer","IanMatthewHuff","DataFrameViewer","","","rows","Count of rows in the target data frame.","","null or <empty> ",false
"DATASCIENCE.SHOW_DATA_EXPLORER_ROWS_LOADED","Data viewer loads rows in chunks, this event is sent when the rows have all been loaded","Telemetry.ShowDataViewerRowsLoaded","IanMatthewHuff","DataFrameViewer","","","rowsTimer","Timer to indicate how long it took to load all the rows","","null or <empty> ",false
"DATASCIENCE.START_SHOW_DATA_EXPLORER","User requested to open the data frame viewer.","Telemetry.StartShowDataViewer","IanMatthewHuff","DataFrameViewer","","","duration","Duration of a measure in milliseconds.
Common measurement used across a number of events.","number","",false
"DATASCIENCE.USER_DID_NOT_INSTALL_JUPYTER","Sent when user click `cancel` button when prompted to install Jupyter.","Telemetry.UserDidNotInstallJupyter","donjayamanne","N/A","KernelStartup","","","","","",""
"DATASCIENCE.USER_DID_NOT_INSTALL_PANDAS","Prompted to install Pandas and chose not to install
Note: This could be just ignoring the UI so not a user action.","Telemetry.UserDidNotInstallPandas","IanMatthewHuff","DataFrameViewer","","","","","","",""
"DATASCIENCE.USER_INSTALLED_JUPYTER","Sent when user installs Jupyter.","Telemetry.UserInstalledJupyter","donjayamanne","N/A","KernelStartup","","","","","",""
"DATASCIENCE.USER_INSTALLED_PANDAS","Installed the python Pandas package.","Telemetry.UserInstalledPandas","IanMatthewHuff","DataFrameViewer","","","","","","",""
"DATAVIEWER.USING_INTERPRETER","When the Data Viewer installer is using a Python interpreter to do the install.","Telemetry.DataViewerUsingInterpreter","IanMatthewHuff","DataFrameViewer","","","","","","",""
"DATAVIEWER.USING_KERNEL","When the Data Viewer installer is using the Kernel to do the install.","Telemetry.DataViewerUsingKernel","IanMatthewHuff","DataFrameViewer","","","","","","",""
"DATAVIEWER.WEBVIEW_LOADED","The Data Viewer webview was loaded.","Telemetry.DataViewerWebviewLoaded","IanMatthewHuff","DataFrameViewer","","","duration","Duration of a measure in milliseconds.
Common measurement used across a number of events.","number","",false
"DS_INTERNAL.ACTIVE_INTERPRETER_LISTING_PERF","Total time taken by Python extension to return the active Python environment.","Telemetry.ActiveInterpreterListingPerf","donjayamanne","N/A","","","duration","Total time taken to list interpreters.","number","",false
"DS_INTERNAL.ACTIVE_INTERPRETER_LISTING_PERF","Total time taken by Python extension to return the active Python environment.","Telemetry.ActiveInterpreterListingPerf","donjayamanne","N/A","","","firstTime","Whether this is the first time in the session.
(fetching kernels first time in the session is slower, later its cached).
This is a generic property supported for all telemetry (sent by decorators).","boolean","",true
